meta_analysis,file_name,es_index,metric,yi,sei,vi,meta_k,meta_metric,meta_avgES,meta_medSE,meta_I_sq,meta_FE_est,meta_RE_est,meta_WLS_est,meta_WW_est,meta_PP_est,meta_pow_WL,meta_pow_PP,meta_pow_WW,is_adequately_powered_WLS,is_adequately_powered_PP,is_adequately_powered_WW,power_individual
Chaplin67-4,Chaplin67-4.dta,78,d,0.21,0.2990364632015813,0.08942280632411068,111,d,0.02765765765765765,0.24699558332451652,4,-0.0011754042506248396,0.012083715024940314,-0.001175404250624885,-0.00117540425062488,-0.03404145349829797,0.025277304292185665,0.03421399944741388,0.025277304292185665,FALSE,FALSE,FALSE,0.10424208597432782
Chaplin67-4,Chaplin67-4.dta,79,d,-0.5,0.2994560285642589,0.08967391304347824,111,d,0.02765765765765765,0.24699558332451652,4,-0.0011754042506248396,0.012083715024940314,-0.001175404250624885,-0.00117540425062488,-0.03404145349829797,0.025277304292185665,0.03421399944741388,0.025277304292185665,FALSE,FALSE,FALSE,0.3857911586349888
Chaplin67-4,Chaplin67-4.dta,80,d,-0.05,0.3044010315985764,0.0926599880382775,111,d,0.02765765765765765,0.24699558332451652,4,-0.0011754042506248396,0.012083715024940314,-0.001175404250624885,-0.00117540425062488,-0.03404145349829797,0.025277304292185665,0.03421399944741388,0.025277304292185665,FALSE,FALSE,FALSE,0.03626769981126199
Chaplin67-4,Chaplin67-4.dta,81,d,-0.29,0.30592035036190424,0.09358726076555024,111,d,0.02765765765765765,0.24699558332451652,4,-0.0011754042506248396,0.012083715024940314,-0.001175404250624885,-0.00117540425062488,-0.03404145349829797,0.025277304292185665,0.03421399944741388,0.025277304292185665,FALSE,FALSE,FALSE,0.1557592646936885
Chaplin67-4,Chaplin67-4.dta,82,d,0.76,0.30878889892916883,0.09535058410188844,111,d,0.02765765765765765,0.24699558332451652,4,-0.0011754042506248396,0.012083715024940314,-0.001175404250624885,-0.00117540425062488,-0.03404145349829797,0.025277304292185665,0.03421399944741388,0.025277304292185665,FALSE,FALSE,FALSE,0.6918947967103155
Chaplin67-4,Chaplin67-4.dta,83,d,-0.51,0.309171895174109,0.09558726076555023,111,d,0.02765765765765765,0.24699558332451652,4,-0.0011754042506248396,0.012083715024940314,-0.001175404250624885,-0.00117540425062488,-0.03404145349829797,0.025277304292185665,0.03421399944741388,0.025277304292185665,FALSE,FALSE,FALSE,0.3781161517406305
Chaplin67-4,Chaplin67-4.dta,84,d,-0.62,0.3094442836859042,0.09575576470588236,111,d,0.02765765765765765,0.24699558332451652,4,-0.0011754042506248396,0.012083715024940314,-0.001175404250624885,-0.00117540425062488,-0.03404145349829797,0.025277304292185665,0.03421399944741388,0.025277304292185665,FALSE,FALSE,FALSE,0.5173850681283358
Chaplin67-4,Chaplin67-4.dta,85,d,-0.55,0.3099501233220733,0.09606907894736844,111,d,0.02765765765765765,0.24699558332451652,4,-0.0011754042506248396,0.012083715024940314,-0.001175404250624885,-0.00117540425062488,-0.03404145349829797,0.025277304292185665,0.03421399944741388,0.025277304292185665,FALSE,FALSE,FALSE,0.42641022439501186
Chaplin67-4,Chaplin67-4.dta,86,d,-0.56,0.3101535350612738,0.09619521531100479,111,d,0.02765765765765765,0.24699558332451652,4,-0.0011754042506248396,0.012083715024940314,-0.001175404250624885,-0.00117540425062488,-0.03404145349829797,0.025277304292185665,0.03421399944741388,0.025277304292185665,FALSE,FALSE,FALSE,0.4386303701398575
Chaplin67-4,Chaplin67-4.dta,87,d,-0.59,0.310784910775202,0.09658726076555026,111,d,0.02765765765765765,0.24699558332451652,4,-0.0011754042506248396,0.012083715024940314,-0.001175404250624885,-0.00117540425062488,-0.03404145349829797,0.025277304292185665,0.03421399944741388,0.025277304292185665,FALSE,FALSE,FALSE,0.475448280240393
Chaplin67-4,Chaplin67-4.dta,88,d,0.08,0.3135075963784817,0.09828701298701299,111,d,0.02765765765765765,0.24699558332451652,4,-0.0011754042506248396,0.012083715024940314,-0.001175404250624885,-0.00117540425062488,-0.03404145349829797,0.025277304292185665,0.03421399944741388,0.025277304292185665,FALSE,FALSE,FALSE,0.04411374173099247
Chaplin67-4,Chaplin67-4.dta,89,d,0.19,0.3173355898200138,0.10070187656641605,111,d,0.02765765765765765,0.24699558332451652,4,-0.0011754042506248396,0.012083715024940314,-0.001175404250624885,-0.00117540425062488,-0.03404145349829797,0.025277304292185665,0.03421399944741388,0.025277304292185665,FALSE,FALSE,FALSE,0.08671501735880205
Chaplin67-4,Chaplin67-4.dta,90,d,0.49,0.3177148010483534,0.1009426948051948,111,d,0.02765765765765765,0.24699558332451652,4,-0.0011754042506248396,0.012083715024940314,-0.001175404250624885,-0.00117540425062488,-0.03404145349829797,0.025277304292185665,0.03421399944741388,0.025277304292185665,FALSE,FALSE,FALSE,0.3380699591368582
Chaplin67-4,Chaplin67-4.dta,91,d,-0.01,0.3178228295923705,0.10101135101010099,111,d,0.02765765765765765,0.24699558332451652,4,-0.0011754042506248396,0.012083715024940314,-0.001175404250624885,-0.00117540425062488,-0.03404145349829797,0.025277304292185665,0.03421399944741388,0.025277304292185665,FALSE,FALSE,FALSE,0.02689424984627431
Chaplin67-4,Chaplin67-4.dta,92,d,-0.34,0.3200860837495142,0.10245510101010101,111,d,0.02765765765765765,0.24699558332451652,4,-0.0011754042506248396,0.012083715024940314,-0.001175404250624885,-0.00117540425062488,-0.03404145349829797,0.025277304292185665,0.03421399944741388,0.025277304292185665,FALSE,FALSE,FALSE,0.1846498920968388
Chaplin67-4,Chaplin67-4.dta,93,d,-0.39,0.32079799096955236,0.102911351010101,111,d,0.02765765765765765,0.24699558332451652,4,-0.0011754042506248396,0.012083715024940314,-0.001175404250624885,-0.00117540425062488,-0.03404145349829797,0.025277304292185665,0.03421399944741388,0.025277304292185665,FALSE,FALSE,FALSE,0.2283530461053782
Chaplin67-4,Chaplin67-4.dta,94,d,0.6,0.3220606830221052,0.10372308354866494,111,d,0.02765765765765765,0.24699558332451652,4,-0.0011754042506248396,0.012083715024940314,-0.001175404250624885,-0.00117540425062488,-0.03404145349829797,0.025277304292185665,0.03421399944741388,0.025277304292185665,FALSE,FALSE,FALSE,0.46136436543857817
